text,sentiment,topic,intent,binary
یہ گانا بہت دلکش ہے۔,positive,other,Feedback,irrelevant
کیا آپ مجھے ریستوران کا مینو دکھا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ بازار بہت گنجان ہے۔,negative,other,Feedback,irrelevant
میں ایک نیا فون خریدنا چاہتا ہوں۔,neutral,other,Request,irrelevant
اس ریستوران کا کھانا بہترین ہے۔,positive,other,Feedback,irrelevant
مجھے راستے میں مشکلات کا سامنا کرنا پڑا۔,negative,other,Complaint,irrelevant
کیا آپ مجھے وقت بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ سفر بہت طویل تھا۔,negative,other,Feedback,irrelevant
مجھے پرانی کتابیں بیچنی ہیں۔,neutral,other,Request,irrelevant
یہ نمائش بہت معلوماتی تھی۔,positive,other,Feedback,irrelevant
اس فلم کی کہانی بہت کمزور ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے کوئی کتاب تحفے میں دینا پسند کریں گے؟,neutral,other,Request,irrelevant
یہ تقریب بہت کامیاب رہی۔,positive,other,Feedback,irrelevant
اس بس میں بہت زیادہ رش ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے اس جگہ کے بارے میں بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ پارک خوبصورت اور صاف ستھرا ہے۔,positive,other,Feedback,irrelevant
مجھے ٹرین کی بکنگ کرنی ہے۔,neutral,other,Request,irrelevant
اس ریستوران کا ماحول بہت خراب ہے۔,negative,other,Complaint,irrelevant
یہ گانا بہت پرانا ہے۔,negative,other,Feedback,irrelevant
کیا آپ مجھے قریب ترین ڈاکخانہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ سفر بہت آرام دہ تھا۔,positive,other,Feedback,irrelevant
میں اپنی گاڑی مرمت کروانا چاہتا ہوں۔,neutral,other,Request,irrelevant
یہ عمارت بہت خوبصورت ہے۔,positive,other,Feedback,irrelevant
میں اس سروس سے بالکل ناخوش ہوں۔,negative,other,Complaint,irrelevant
کیا آپ مجھے کوئی نقشہ دے سکتے ہیں؟,neutral,other,Request,irrelevant
یہ فلم بہت بورنگ تھی۔,negative,other,Feedback,irrelevant
آج کا موسم کیسا ہے؟,neutral,other,Inquiry,irrelevant
یہ موسیقی دل کو چھو لینے والی ہے۔,positive,other,Feedback,irrelevant
مجھے فلائٹ میں تاخیر کی شکایت ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے بین الاقوامی پروازوں کے بارے میں بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ نیا ریسٹورنٹ بہت اچھا ہے۔,positive,other,Feedback,irrelevant
مجھے ہوٹل میں کمرہ بک کرنا ہے۔,neutral,other,Request,irrelevant
اس عمارت کا ڈیزائن بہت عجیب ہے۔,negative,other,Feedback,irrelevant
کیا آپ مجھے قریب ترین پوسٹ آفس کا پتہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ پرفارمنس بہت متاثر کن تھی۔,positive,other,Feedback,irrelevant
مجھے ٹرین کے ٹکٹ کینسل کروانے ہیں۔,neutral,other,Request,irrelevant
اس جگہ پر بہت زیادہ شور ہے۔,negative,other,Complaint,irrelevant
کیا یہ سامان جہاز میں لے جایا جا سکتا ہے؟,neutral,other,Inquiry,irrelevant
یہ کتاب بہت معلومات فراہم کرتی ہے۔,positive,other,Feedback,irrelevant
مجھے ٹریفک جام کی شکایت ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے اس آرٹیکل کا خلاصہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ ہسپتال میں ڈاکٹرز بہت تعاون کرتے ہیں۔,positive,health,Feedback,relevant
کیا اگلے ہفتے اسکول کی چھٹیاں بڑھائی جائیں گی؟,neutral,education,Inquiry,relevant
آبادی کے بڑھنے سے وسائل پر دباؤ پڑتا ہے۔,negative,population,Feedback,relevant
میں ایک نئی کتاب شائع کرنے کے بارے میں پوچھنا چاہتا ہوں۔,neutral,other,Inquiry,irrelevant
مریض کی حالت تشویشناک ہے، براہ کرم جلد سے جلد مدد فراہم کریں۔,negative,health,Request,relevant
میں اپنے بچے کے اسکول کے داخلے کے بارے میں معلومات حاصل کرنا چاہتا ہوں۔,neutral,education,Inquiry,relevant
عالمی آبادی میں اضافہ ایک سنگین مسئلہ ہے۔,negative,population,Feedback,relevant
مجھے ایک پرانی فلم کا نام یاد نہیں آرہا۔,neutral,other,Inquiry,irrelevant
یہ دوا بہت مؤثر ہے، میری صحت میں تیزی سے بہتری آئی ہے۔,positive,health,Feedback,relevant
مجھے اسکول کی فیس جمع کرانے میں دشواری ہو رہی ہے۔,negative,education,Complaint,relevant
کیا حکومت آبادی کو کنٹرول کرنے کے لیے کوئی اقدامات کر رہی ہے؟,neutral,population,Inquiry,relevant
مجھے ایک اچھی ریستوراں کا پتہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہاں کا موسم بہت خوشگوار ہے۔,positive,other,Feedback,irrelevant
مجھے آج کل بہت تھکاوٹ محسوس ہو رہی ہے۔,negative,health,Feedback,relevant
اساتذہ کی محنت قابل تعریف ہے۔,positive,education,Feedback,relevant
زیادہ آبادی غربت کی ایک بڑی وجہ ہے۔,negative,population,Feedback,relevant
مجھے ایک فلم کے ٹکٹ کی بکنگ کروانی ہے۔,neutral,other,Request,irrelevant
اس پروجیکٹ کی تکمیل کے لیے مجھے مزید فنڈز کی ضرورت ہے۔,neutral,education,Request,relevant
اس ہسپتال میں مریضوں کی تعداد بہت زیادہ ہے۔,neutral,health,Feedback,relevant
بڑھتی ہوئی آبادی کے ساتھ پانی کا بحران بھی بڑھ رہا ہے۔,negative,population,Feedback,relevant
کیا کوئی نئی فلم ریلیز ہوئی ہے؟,neutral,other,Inquiry,irrelevant
یونیورسٹی کا نصاب بہت اچھا ہے۔,positive,education,Feedback,relevant
مجھے بخار اور گلے میں درد ہے۔,negative,health,Feedback,relevant
ہمیں آبادی کے کنٹرول کے لیے شعور اجاگر کرنے کی ضرورت ہے۔,neutral,population,Request,relevant
یہ موسم بہت دلکش ہے۔,positive,other,Feedback,irrelevant
اس کالج میں داخلے کی آخری تاریخ کیا ہے؟,neutral,education,Inquiry,relevant
ڈاکٹر نے مجھے صحت مند غذا کھانے کا مشورہ دیا ہے۔,neutral,health,Feedback,relevant
زیادہ آبادی کے باعث روزگار کے مواقع کم ہو رہے ہیں۔,negative,population,Feedback,relevant
مجھے جلد از جلد ایک کتاب کی ترسیل کی ضرورت ہے۔,neutral,other,Request,irrelevant
یہ اسکول بہت اچھا ہے، میرے بچے کی کارکردگی بہتر ہوئی ہے۔,positive,education,Feedback,relevant
مجھے آج ڈاکٹر سے ملنا ہے۔,neutral,health,Request,relevant
ہمیں آبادی کے کنٹرول کے لیے مؤثر پالیسیاں بنانی چاہئیں۔,neutral,population,Feedback,relevant
مجھے ایک ہوٹل میں کمرہ بک کروانا ہے۔,neutral,other,Request,irrelevant
اس امتحان کے نتائج کب آئیں گے؟,neutral,education,Inquiry,relevant
اس دوا کی قیمت بہت زیادہ ہے۔,negative,health,Complaint,relevant
یہ آبادی میں اضافہ دنیا کے لیے ایک خطرہ ہے۔,negative,population,Feedback,relevant
مجھے یہ فلم بہت پسند آئی۔,positive,other,Feedback,irrelevant
مجھے اسکول کے اساتذہ کی جانب سے شکایات ہیں۔,negative,education,Complaint,relevant
میں صحت کے بارے میں کچھ سوالات پوچھنا چاہتا ہوں۔,neutral,health,Inquiry,relevant
کیا ہم آبادی کی شرح کو کم کر سکتے ہیں؟,neutral,population,Inquiry,relevant
یہ کتاب بہت دلچسپ ہے۔,positive,other,Feedback,irrelevant
اس اسکول میں نظم و ضبط کی کمی ہے۔,negative,education,Complaint,relevant
مجھے گردے کی بیماری ہے۔,negative,health,Feedback,relevant
آبادی کا توازن بگڑ رہا ہے۔,negative,population,Feedback,relevant
کیا آپ مجھے کوئی اچھی گانا سنوا سکتے ہیں؟,neutral,other,Request,irrelevant
اس مدرسے کا معیار بہت بلند ہے۔,positive,education,Feedback,relevant
مجھے صحت کا معائنہ کروانا ہے۔,neutral,health,Request,relevant
ہمیں آبادی کی منصوبہ بندی پر توجہ دینی چاہیے۔,neutral,population,Feedback,relevant
یہ نیا گانا بہت مقبول ہے۔,positive,other,Feedback,irrelevant
مجھے اس مضمون پر مزید معلومات درکار ہیں۔,neutral,education,Inquiry,relevant
اس دوا کے مضر اثرات ہیں۔,negative,health,Feedback,relevant
ملازمت کے مواقع آبادی کے حساب سے کم ہیں۔,negative,population,Feedback,relevant
مجھے یہ فلم دوبارہ دیکھنی ہے۔,positive,other,Request,irrelevant
کیا اسکول کی عمارت کی مرمت کی جائے گی؟,neutral,education,Inquiry,relevant
یہ دوائی بہت اچھی ہے، مجھے جلد آرام آ گیا۔,positive,health,Feedback,relevant
زیادہ آبادی والے علاقوں میں بیماریوں کا پھیلاؤ زیادہ ہوتا ہے۔,negative,population,Feedback,relevant
مجھے ایک خاص قسم کی کتاب کی تلاش ہے۔,neutral,other,Request,irrelevant
یہ تعلیمی ادارہ طلباء کے لیے بہترین ہے۔,positive,education,Feedback,relevant
مجھے سر درد ہو رہا ہے۔,negative,health,Feedback,relevant
آبادی میں غیر متوازن اضافہ معاشرتی مسائل پیدا کرتا ہے۔,negative,population,Feedback,relevant
مجھے کوئی اچھی فلم دیکھنے کی تجویز دیں۔,neutral,other,Request,irrelevant
اس اسکول میں سہولیات کی کمی ہے۔,negative,education,Complaint,relevant
مجھے شوگر کا مرض ہے۔,negative,health,Feedback,relevant
پسماندہ علاقوں میں آبادی کا کنٹرول بہت ضروری ہے۔,neutral,population,Feedback,relevant
مجھے ایک نئی گاڑی خریدنی ہے۔,neutral,other,Request,irrelevant
میں اپنے بچے کے تعلیمی ریکارڈ کی تصدیق کروانا چاہتا ہوں۔,neutral,education,Request,relevant
ڈاکٹر سے ملاقات کا وقت کیا ہے؟,neutral,health,Inquiry,relevant
عالمی سطح پر آبادی کو کنٹرول کرنے کے لیے اقدامات کیے جائیں۔,neutral,population,Request,relevant
میں ایک پرانی تصویر دیکھنا چاہتا ہوں۔,neutral,other,Request,irrelevant
اس ادارے میں تعلیم کا معیار بہت اچھا ہے۔,positive,education,Feedback,relevant
مجھے فلو ہو گیا ہے۔,negative,health,Feedback,relevant
بڑھتی ہوئی آبادی کے باعث قدرتی وسائل ختم ہو رہے ہیں۔,negative,population,Feedback,relevant
مجھے ایک مشہور مقام کے بارے میں معلومات چاہیے۔,neutral,other,Inquiry,irrelevant
اس اسکول میں کھیل کے میدان کی سہولت موجود نہیں ہے۔,negative,education,Complaint,relevant
یہ دوا میری صحت کے لیے بہت مفید ثابت ہوئی ہے۔,positive,health,Feedback,relevant
آبادی میں اضافہ غربت کو جنم دیتا ہے۔,negative,population,Feedback,relevant
مجھے ایک گانے کی دھن یاد نہیں آ رہی۔,neutral,other,Inquiry,irrelevant
اس یونیورسٹی میں داخلے کے لیے کیا شرائط ہیں؟,neutral,education,Inquiry,relevant
مجھے الرجیک ردعمل ہوا ہے۔,negative,health,Feedback,relevant
ہمیں آبادی کی شرح کو کم کرنے کے لیے کام کرنا ہوگا۔,neutral,population,Request,relevant
یہ گانا بہت خوبصورت ہے۔,positive,other,Feedback,irrelevant
یہ اسکول بہت محفوظ اور منظم ہے۔,positive,education,Feedback,relevant
مجھے شوگر کی دوا چاہیے۔,neutral,health,Request,relevant
بڑھتی ہوئی آبادی خوراک کی قلت کا سبب بن سکتی ہے۔,negative,population,Feedback,relevant
مجھے ریلوے اسٹیشن جانا ہے۔,neutral,other,Request,irrelevant
اس اسکول میں اساتذہ کی تربیت کا انتظام بہت اچھا ہے۔,positive,education,Feedback,relevant
مجھے بخار کی شکایت ہے۔,negative,health,Feedback,relevant
آبادی کے کنٹرول کے بغیر ترقی ممکن نہیں۔,negative,population,Feedback,relevant
مجھے ایک نئی کار کے ماڈل کے بارے میں جاننا ہے۔,neutral,other,Inquiry,irrelevant
کیا اس اسکول میں کمپیوٹر لیب موجود ہے؟,neutral,education,Inquiry,relevant
مجھے ادویات کے بارے میں معلومات درکار ہیں۔,neutral,health,Inquiry,relevant
ہماری حکومت آبادی کے کنٹرول کے لیے اقدامات اٹھا رہی ہے۔,neutral,population,Feedback,relevant
یہ ہوٹل بہت آرام دہ ہے۔,positive,other,Feedback,irrelevant
اس اسکول کی نصابی سرگرمیاں بہت عمدہ ہیں۔,positive,education,Feedback,relevant
مجھے سر میں درد ہو رہا ہے، کوئی دوا بتائیں۔,negative,health,Request,relevant
آبادی کی منصوبہ بندی سماجی و اقتصادی ترقی کے لیے ناگزیر ہے۔,neutral,population,Feedback,relevant
مجھے اپنی پرواز کی بکنگ کرنی ہے۔,neutral,other,Request,irrelevant
یہ اسکول کے نتائج بہت حوصلہ افزا ہیں۔,positive,education,Feedback,relevant
مجھے ادویات لینے میں کچھ مسئلہ ہے۔,negative,health,Complaint,relevant
کیا آبادی میں اضافہ مثبت پہلو رکھتا ہے؟,neutral,population,Inquiry,relevant
مجھے کتابوں کے بارے میں بات کرنی ہے۔,neutral,other,Request,irrelevant
اس کالج کی فیس بہت زیادہ ہے۔,negative,education,Complaint,relevant
مجھے صحت کے متعلق ایک مشورہ درکار ہے۔,neutral,health,Request,relevant
آبادی کا کنٹرول ہی ترقی کا راز ہے۔,positive,population,Feedback,relevant
یہ فلم بہت بورنگ ہے۔,negative,other,Feedback,irrelevant
اس اسکول میں طالب علموں کے ساتھ اچھا سلوک نہیں ہوتا۔,negative,education,Complaint,relevant
مجھے گیسٹرو کی بیماری ہے۔,negative,health,Feedback,relevant
اس علاقے میں آبادی بہت زیادہ ہے۔,neutral,population,Feedback,relevant
مجھے ایک کار خریدنے کے بارے میں مشورہ چاہیے۔,neutral,other,Inquiry,irrelevant
میں اس اسکول سے بہت خوش ہوں۔,positive,education,Feedback,relevant
مجھے شدید کھانسی ہو رہی ہے۔,negative,health,Feedback,relevant
کیا ہم آبادی میں کمی لا سکتے ہیں؟,neutral,population,Inquiry,relevant
مجھے ایک اچھا ریستوراں تلاش کرنا ہے۔,neutral,other,Request,irrelevant
یہ اسکول معیاری تعلیم فراہم کرتا ہے۔,positive,education,Feedback,relevant
مجھے دل کا دورہ پڑا ہے۔,negative,health,Feedback,relevant
آبادی کا کنٹرول ایک بین الاقوامی مسئلہ ہے۔,neutral,population,Feedback,relevant
مجھے ایک پرانی فلم کی معلومات چاہیے۔,neutral,other,Inquiry,irrelevant
یہ اسکول میں سہولیات کی کمی ہے۔,negative,education,Complaint,relevant
مجھے شوگر کے ٹیسٹ کے لیے بلایا گیا ہے۔,neutral,health,Request,relevant
آبادی میں اضافے کے نقصانات بہت زیادہ ہیں۔,negative,population,Feedback,relevant
یہ گانا بہت پرانا ہے۔,neutral,other,Feedback,irrelevant
میں اس کالج میں داخلہ لینا چاہتا ہوں۔,neutral,education,Request,relevant
مجھے الرجیک رد عمل کا مسئلہ ہے۔,negative,health,Complaint,relevant
ہمیں آبادی کے کنٹرول کے لیے قانون سازی کرنی چاہیے۔,neutral,population,Request,relevant
مجھے ایک اچھی کتاب کی تلاش ہے۔,neutral,other,Request,irrelevant
اس اسکول کی عمارت بہت پرانی ہے۔,neutral,education,Feedback,relevant
مجھے سر درد کی دوا چاہیے۔,neutral,health,Request,relevant
آبادی کا کنٹرول معاشرتی استحکام کے لیے ضروری ہے۔,neutral,population,Feedback,relevant
مجھے ایک نئی فلم کے بارے میں جاننا ہے۔,neutral,other,Inquiry,irrelevant
اس مدرسے میں داخلے کی آخری تاریخ کب ہے؟,neutral,education,Inquiry,relevant
مجھے بخار اور گلے میں درد کی شکایت ہے۔,negative,health,Feedback,relevant
بڑھتی ہوئی آبادی سے قدرتی وسائل پر بہت دباؤ پڑ رہا ہے۔,negative,population,Feedback,relevant
یہ ہوٹل بہت اچھا ہے۔,positive,other,Feedback,irrelevant
اس اسکول میں سائنس کے مضامین کی تعلیم بہت اچھی ہے۔,positive,education,Feedback,relevant
مجھے ادویات کا غلط استعمال نہیں کرنا چاہیے۔,neutral,health,Feedback,relevant
عالمی آبادی میں اضافہ تشویشناک ہے۔,negative,population,Feedback,relevant
کیا آپ مجھے اس گانے کا نام بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
اس ادارے کی کارکردگی قابل ستائش ہے۔,positive,education,Feedback,relevant
مجھے دمے کی بیماری ہے۔,negative,health,Feedback,relevant
آبادی کا کنٹرول ایک سنگین مسئلہ ہے۔,negative,population,Feedback,relevant
مجھے ایک اچھی فلم کی تلاش ہے۔,neutral,other,Request,irrelevant
اس اسکول میں اساتذہ کی کمی ہے۔,negative,education,Complaint,relevant
مجھے جلد صحت یاب ہونے کی دعا کریں۔,neutral,health,Request,relevant
آبادی کے کنٹرول کے بغیر ترقی ناممکن ہے۔,negative,population,Feedback,relevant
یہ فلم بہت اچھی ہے۔,positive,other,Feedback,irrelevant
اس دوا سے میرے سر درد میں فوری افاقہ ہوا ہے۔,positive,health,Feedback,relevant
صحت کی سہولیات کی کمی کی وجہ سے بہت سے مریض پریشان ہیں۔,negative,health,Complaint,relevant
یہ بتا سکیں گے کہ آج کل شہر میں کون سا وائرس پھیلا ہوا ہے؟,neutral,health,Inquiry,relevant
طبی معائنے کے لیے آپ کا وقت کب دستیاب ہے؟,neutral,health,Request,relevant
حکومتی صحت پروگرام بہت کامیاب رہا ہے۔,positive,health,Feedback,relevant
بچوں کے ویکسینیشن کے شیڈول میں تبدیلی کی گئی ہے۔,neutral,health,Information,relevant
کیا آپ بتائیں گے کہ یہ ادویات کہاں سے مل سکتی ہیں؟,neutral,health,Inquiry,relevant
یہاں کے ڈاکٹرز کا رویہ انتہائی غیر پیشہ ورانہ ہے۔,negative,health,Complaint,relevant
نئی طرز کی ورزش صحت کے لیے بہت مفید ثابت ہوئی ہے۔,positive,health,Feedback,relevant
یہاں ایمرجنسی میں فوری طبی امداد نہیں ملتی۔,negative,health,Complaint,relevant
کیا یہ طریقہ علاج مؤثر ہے؟,neutral,health,Inquiry,relevant
آپ سے گزارش ہے کہ بروقت طبی مشورہ فراہم کریں۔,neutral,health,Request,relevant
مفت صحت کیمپ لگوانے کا اقدام قابل ستائش ہے۔,positive,health,Feedback,relevant
نیشنل ہیلتھ منصوبے کے تحت سہولیات میں اضافہ ہوا ہے۔,positive,health,Feedback,relevant
ہسپتال کا انتظام بہتر کرنے کی اشد ضرورت ہے۔,negative,health,Complaint,relevant
کیا آپ جاننا چاہیں گے کہ خوراک کے متعلق کیا ہدایات ہیں؟,neutral,health,Inquiry,relevant
آج کا موسم صحت کے لیے اچھا نہیں ہے۔,negative,health,Information,relevant
میں صحت کے بارے میں کچھ معلومات حاصل کرنا چاہتا ہوں۔,neutral,health,Inquiry,relevant
یہاں کے کلینکس میں ڈاکٹرز کی کمی محسوس ہوتی ہے۔,negative,health,Complaint,relevant
یونیورسٹی میں طلبہ کی صحت کا خاص خیال رکھا جاتا ہے۔,positive,health,Feedback,relevant
کیا آپ کے پاس کوئی ایسی دوا ہے جو بخار کم کر دے؟,neutral,health,Request,relevant
یہ نیا ہیلتھ کیئر بل بہت فائدہ مند ثابت ہوگا۔,positive,health,Feedback,relevant
یہاں مریضوں کو بروقت علاج نہیں ملتا۔,negative,health,Complaint,relevant
کیا یہ طریقہ علاج روایتی ہے؟,neutral,health,Inquiry,relevant
ہم صحت کے شعبے میں بہتری چاہتے ہیں۔,neutral,health,Request,relevant
عوام کی صحت کی حفاظت حکومت کی ذمہ داری ہے۔,neutral,health,Statement,relevant
یہاں کے اسپتال میں صفائی ستھرائی کا انتظام بہت اچھا ہے۔,positive,health,Feedback,relevant
طبی اخراجات بہت زیادہ ہیں، عام آدمی کے لیے مشکل ہے۔,negative,health,Complaint,relevant
کیا آپ بتائیں گے کہ خون کے ٹیسٹ کے نتائج کب تک آئیں گے؟,neutral,health,Inquiry,relevant
میں اپنے بچوں کے لیے صحت کا سرٹیفیکیٹ لینا چاہتا ہوں۔,neutral,health,Request,relevant
یہ علاقہ صحت کے لحاظ سے بہت بہتر ہے۔,positive,health,Feedback,relevant
صحت کی سہولیات کی عدم دستیابی پر تشویش ہے۔,negative,health,Complaint,relevant
کیا آپ یہ بتا سکتے ہیں کہ دل کی بیماریوں سے کیسے بچا جا سکتا ہے؟,neutral,health,Inquiry,relevant
طبی ریکارڈ محفوظ رکھنے کی سہولت فراہم کی جائے۔,neutral,health,Request,relevant
یہ نیا ہسپتال عوام کے لیے ایک نعمت ہے۔,positive,health,Feedback,relevant
علاج کے دوران مریضوں کے ساتھ ناروا سلوک کیا جاتا ہے۔,negative,health,Complaint,relevant
کیا آپ مجھے ادویات کی خوراک کے بارے میں بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
میں ایک صحت مند طرز زندگی گزارنا چاہتا ہوں۔,neutral,health,Statement,relevant
یہاں کے ڈاکٹرز بہت محنتی اور قابل ہیں۔,positive,health,Feedback,relevant
ایمرجنسی وارڈ میں سہولیات ناکافی ہیں۔,negative,health,Complaint,relevant
کیا یہ علاج محفوظ ہے؟,neutral,health,Inquiry,relevant
آپ سے درخواست ہے کہ مریضوں کے لیے مزید بستروں کا انتظام کیا جائے۔,neutral,health,Request,relevant
یہاں کی میڈیکل ٹیم کا کام شاندار ہے۔,positive,health,Feedback,relevant
صحت کی بنیادی سہولیات تک رسائی بہت مشکل ہے۔,negative,health,Complaint,relevant
کیا میں یہ جان سکتا ہوں کہ یہ ٹیسٹ کب کیا جائے گا؟,neutral,health,Inquiry,relevant
صحت مند معاشرے کی تشکیل ہم سب کی ذمہ داری ہے۔,neutral,health,Statement,relevant
طبی اخراجات پر قابو پانا بہت ضروری ہے۔,neutral,health,Statement,relevant
یہاں کے نرسنگ اسٹاف کا رویہ بہت اچھا ہے۔,positive,health,Feedback,relevant
مریضوں کو ٹھیک وقت پر ادویات نہیں دی جاتیں۔,negative,health,Complaint,relevant
یہاں صحت کی سہولیات بہتر ہو رہی ہیں۔,positive,health,Feedback,relevant
کیا آپ مجھے بتائیں گے کہ اس بیماری کے علاج کے لئے کتنے دن لگیں گے؟,neutral,health,Inquiry,relevant
اسکول میں طلباء کی صحت کا معائنہ کیا جا رہا ہے۔,neutral,education,Information,relevant
یہاں کے اساتذہ بہت محنتی اور قابل ہیں۔,positive,education,Feedback,relevant
یونیورسٹیوں میں داخلے کے معیار کو بہتر بنانے کی ضرورت ہے۔,negative,education,Complaint,relevant
کیا اگلے سمسٹر کی فیس میں کوئی کمی کی جائے گی؟,neutral,education,Inquiry,relevant
میں اپنے بچے کے داخلے کے لیے درخواست دینا چاہتا ہوں۔,neutral,education,Request,relevant
تعلیمی نظام میں بہتری کے لیے یہ اقدام اہم ہے۔,positive,education,Feedback,relevant
یہاں کے اسکول میں سہولیات ناکافی ہیں۔,negative,education,Complaint,relevant
کیا آپ بتا سکیں گے کہ امتحانات کا نتیجہ کب آئے گا؟,neutral,education,Inquiry,relevant
مجھے اسکالرشپ کے لیے درخواست جمع کروانی ہے۔,neutral,education,Request,relevant
نئی نصابی کتب کا معیار بہت اچھا ہے۔,positive,education,Feedback,relevant
طلباء کے نتائج بہت حوصلہ افزا ہیں۔,positive,education,Feedback,relevant
اسکولوں میں غیر حاضر رہنے والے اساتذہ کے خلاف کارروائی ہونی چاہیے۔,negative,education,Complaint,relevant
کیا آپ بتائیں گے کہ اس کورس کے لیے اہلیت کیا ہے؟,neutral,education,Inquiry,relevant
مجھے اپنے بچے کے تعلیمی ریکارڈ کی کاپی درکار ہے۔,neutral,education,Request,relevant
اس پرائیویٹ اسکول کی تعلیم بہت اعلیٰ درجے کی ہے۔,positive,education,Feedback,relevant
یہاں کے اساتذہ طلباء پر توجہ نہیں دیتے۔,negative,education,Complaint,relevant
کیا یہ تعلیمی پروگرام آن لائن دستیاب ہے؟,neutral,education,Inquiry,relevant
میں آپ سے گزارش کرتا ہوں کہ تعلیمی معیار کو بہتر بنائیں۔,neutral,education,Request,relevant
اس یونیورسٹی نے بین الاقوامی سطح پر بہت نام کمایا ہے۔,positive,education,Feedback,relevant
یہاں کے اسکولوں میں بنیادی سہولیات کی کمی ہے۔,negative,education,Complaint,relevant
کیا آپ بتا سکتے ہیں کہ داخلے کی آخری تاریخ کیا ہے؟,neutral,education,Inquiry,relevant
طلباء کے لیے بہتر رہائشی سہولیات فراہم کی جائیں۔,neutral,education,Request,relevant
یہاں کی لائبریری میں کتابوں کا ذخیرہ بہت وسیع ہے۔,positive,education,Feedback,relevant
اساتذہ کی تربیت کا فقدان نظر آتا ہے۔,negative,education,Complaint,relevant
کیا یہ سرٹیفیکیٹ تسلیم شدہ ہے؟,neutral,education,Inquiry,relevant
مجھے اپنے تعلیمی مستقبل کے بارے میں رہنمائی درکار ہے۔,neutral,education,Request,relevant
نوجوانوں کی تعلیم پر توجہ دینا بہت اہم ہے۔,neutral,education,Statement,relevant
یہاں کے تدریسی طریقے بہت مؤثر ہیں۔,positive,education,Feedback,relevant
طلباء کو امتحانات میں غیر ضروری دباؤ کا سامنا ہے۔,negative,education,Complaint,relevant
کیا آپ یہ بتا سکتے ہیں کہ اس مضمون کو کیسے پاس کیا جا سکتا ہے؟,neutral,education,Inquiry,relevant
یونیورسٹی میں تحقیق کے بہتر مواقع فراہم کیے جائیں۔,neutral,education,Request,relevant
یہ اسکول ہر سال بہترین نتائج دیتا ہے۔,positive,education,Feedback,relevant
اساتذہ کو تنخواہیں بروقت نہیں ملتی۔,negative,education,Complaint,relevant
کیا میں داخلے کے فارم میں کچھ تبدیلی کر سکتا ہوں؟,neutral,education,Request,relevant
یہاں کا تدریسی ماحول بہت مثبت ہے۔,positive,education,Feedback,relevant
تعلیم کے شعبے میں کرپشن کے الزامات کی تحقیقات ہونی چاہیے۔,negative,education,Complaint,relevant
کیا آپ بتا سکتے ہیں کہ امتحانات کی تیاری کے لیے کون سی کتابیں بہترین ہیں؟,neutral,education,Inquiry,relevant
اساتذہ کی تعداد طلباء کے تناسب سے کم ہے۔,negative,education,Complaint,relevant
یہاں کی طالبہ یونین بہت فعال ہے۔,positive,education,Feedback,relevant
کیا آپ یہ بتا سکتے ہیں کہ یہ ڈگری کب مکمل ہوگی؟,neutral,education,Inquiry,relevant
ہم چاہتے ہیں کہ حکومت تعلیم پر زیادہ فنڈز مختص کرے۔,neutral,education,Request,relevant
یہاں کی یونیورسٹی کا رقبہ بہت زیادہ ہے۔,neutral,population,Information,relevant
شہر میں آبادی کا ارتکاز بڑھتا جا رہا ہے۔,negative,population,Statement,relevant
کیا آپ بتا سکتے ہیں کہ اس علاقے کی آبادی کتنی ہے؟,neutral,population,Inquiry,relevant
ہم آبادی پر قابو پانے کے لیے اقدامات کا مطالبہ کرتے ہیں۔,neutral,population,Request,relevant
یہاں کی منصوبہ بندی بہت اچھی ہے۔,positive,population,Feedback,relevant
ملک میں شرح خواندگی بہتر ہو رہی ہے۔,positive,population,Feedback,relevant
نوجوانوں کی بے روزگاری آبادی کا ایک بڑا مسئلہ ہے۔,negative,population,Complaint,relevant
کیا آپ اس آبادی کے اعداد و شمار فراہم کر سکتے ہیں؟,neutral,population,Inquiry,relevant
ہمیں پسماندہ علاقوں میں آبادی کی ترقی کے لیے مدد چاہیے۔,neutral,population,Request,relevant
یہاں کے رہائشی بہت خوش حال ہیں۔,positive,population,Feedback,relevant
اس علاقہ میں آبادی کی کثافت بہت زیادہ ہے۔,negative,population,Information,relevant
یہاں کی منصوبہ بندی ناقص ہے۔,negative,population,Complaint,relevant
کیا آپ بتا سکیں گے کہ اس شہر کی آبادی کتنی بڑھ گئی ہے؟,neutral,population,Inquiry,relevant
ہم چاہتے ہیں کہ حکومت آبادی کے کنٹرول کے اقدامات کرے۔,neutral,population,Request,relevant
